TID: [2025-05-07 09:51:12,040]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2025-05-07 09:51:14,543]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2025-05-07 09:51:14,543]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 15.4.1, aarch64
TID: [] [] [2025-05-07 09:51:14,543]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /Library/Java/JavaVirtualMachines/temurin-21.jdk/Contents/Home
TID: [] [] [2025-05-07 09:51:14,544]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 21.0.7
TID: [] [] [2025-05-07 09:51:14,544]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 21.0.7+6-LTS,Eclipse Adoptium
TID: [] [] [2025-05-07 09:51:14,544]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/samindu/Workspace/intergration-project/wso2-apim
TID: [] [] [2025-05-07 09:51:14,544]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/samindu/Workspace/intergration-project/wso2-apim/tmp
TID: [] [] [2025-05-07 09:51:14,544]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : samindu, en-LK, Asia/Colombo
TID: [] [] [2025-05-07 09:51:14,651]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [] [] [2025-05-07 09:51:14,744]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2025-05-07 09:51:15,425]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [] [] [2025-05-07 09:51:15,590]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
