TID: [2025-05-08 11:15:18,238]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2025-05-08 11:15:19,712] []  INFO {org.ops4j.pax.logging.spi.support.EventAdminConfigurationNotifier} - Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 15.4.1, aarch64
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /Library/Java/JavaVirtualMachines/temurin-21.jdk/Contents/Home
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 21.0.7
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 21.0.7+6-LTS,Eclipse Adoptium
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/samindu/Workspace/intergration-project/wso2-is
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/samindu/Workspace/intergration-project/wso2-is/tmp
TID: [] [] [2025-05-08 11:15:19,798] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : samindu, en-LK, Asia/Colombo
TID: [] [] [2025-05-08 11:15:21,231] []  INFO {org.apache.jasper.servlet.TldScanner} - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
